Area,Date,Area type,Region,Commodity category,Amount (USD),Amount 12 month rolling sum (USD)
Afghanistan,7/1/2019,Country or economy,Asia,EVs,0,630
Afghanistan,7/1/2019,Country or economy,Asia,Grid,7686,738467
Afghanistan,7/1/2019,Country or economy,Asia,Heating and cooling systems,673774,3455956
Afghanistan,7/1/2019,Country or economy,Asia,Solar PV,407471,14799914
Afghanistan,7/1/2019,Country or economy,Asia,Wind,0,0
Afghanistan,8/1/2019,Country or economy,Asia,All technologies,1537888,21662121
Afghanistan,8/1/2019,Country or economy,Asia,Batteries,15400,2497990
Afghanistan,8/1/2019,Country or economy,Asia,EVs,0,164
Afghanistan,8/1/2019,Country or economy,Asia,Grid,77518,808220
Afghanistan,8/1/2019,Country or economy,Asia,Heating and cooling systems,634112,3812390
Afghanistan,8/1/2019,Country or economy,Asia,Solar PV,810858,14543357
Afghanistan,8/1/2019,Country or economy,Asia,Wind,0,0
Afghanistan,9/1/2019,Country or economy,Asia,All technologies,1887756,22278019
Afghanistan,9/1/2019,Country or economy,Asia,Batteries,0,2171120
Afghanistan,9/1/2019,Country or economy,Asia,EVs,0,164
Afghanistan,9/1/2019,Country or economy,Asia,Grid,9130,698002
Afghanistan,9/1/2019,Country or economy,Asia,Heating and cooling systems,236893,3834846
Afghanistan,9/1/2019,Country or economy,Asia,Solar PV,1641733,15573887
Afghanistan,9/1/2019,Country or economy,Asia,Wind,0,0
Afghanistan,10/1/2019,Country or economy,Asia,All technologies,1704410,20933240
Afghanistan,10/1/2019,Country or economy,Asia,Batteries,32731,1899715
Afghanistan,10/1/2019,Country or economy,Asia,EVs,0,85
Afghanistan,10/1/2019,Country or economy,Asia,Grid,92743,777296
Afghanistan,10/1/2019,Country or economy,Asia,Heating and cooling systems,361116,3410149
Afghanistan,10/1/2019,Country or economy,Asia,Solar PV,1217820,14845995
Afghanistan,10/1/2019,Country or economy,Asia,Wind,0,0
Afghanistan,11/1/2019,Country or economy,Asia,All technologies,3086460,21697600
Afghanistan,11/1/2019,Country or economy,Asia,Batteries,435937,1967624
Afghanistan,11/1/2019,Country or economy,Asia,EVs,0,85
Afghanistan,11/1/2019,Country or economy,Asia,Grid,17675,788684
Afghanistan,11/1/2019,Country or economy,Asia,Heating and cooling systems,738845,3999354
Afghanistan,11/1/2019,Country or economy,Asia,Solar PV,1894003,14941853
Afghanistan,11/1/2019,Country or economy,Asia,Wind,0,0
Afghanistan,12/1/2019,Country or economy,Asia,All technologies,1954386,21767469
Afghanistan,12/1/2019,Country or economy,Asia,Batteries,37488,1710959
Afghanistan,12/1/2019,Country or economy,Asia,EVs,430,515
Afghanistan,12/1/2019,Country or economy,Asia,Grid,59333,793255
Afghanistan,12/1/2019,Country or economy,Asia,Heating and cooling systems,647312,4646666
Afghanistan,12/1/2019,Country or economy,Asia,Solar PV,1209823,14616074
Afghanistan,12/1/2019,Country or economy,Asia,Wind,0,0
Afghanistan,1/1/2020,Country or economy,Asia,All technologies,1529661,21062476
Afghanistan,1/1/2020,Country or economy,Asia,Batteries,60355,1521530
Afghanistan,1/1/2020,Country or economy,Asia,EVs,0,515
Afghanistan,1/1/2020,Country or economy,Asia,Grid,6008,731880
Afghanistan,1/1/2020,Country or economy,Asia,Heating and cooling systems,327912,4887430
Afghanistan,1/1/2020,Country or economy,Asia,Solar PV,1135386,13921121
Afghanistan,1/1/2020,Country or economy,Asia,Wind,0,0
Afghanistan,2/1/2020,Country or economy,Asia,All technologies,632050,20471582
Afghanistan,2/1/2020,Country or economy,Asia,Batteries,0,1296506
Afghanistan,2/1/2020,Country or economy,Asia,EVs,0,430
Afghanistan,2/1/2020,Country or economy,Asia,Grid,75476,724996
Afghanistan,2/1/2020,Country or economy,Asia,Heating and cooling systems,36175,4758790
Afghanistan,2/1/2020,Country or economy,Asia,Solar PV,520399,13690860
Afghanistan,2/1/2020,Country or economy,Asia,Wind,0,0
Afghanistan,3/1/2020,Country or economy,Asia,All technologies,1391288,18968308
Afghanistan,3/1/2020,Country or economy,Asia,Batteries,47942,1268969
Afghanistan,3/1/2020,Country or economy,Asia,EVs,0,430
Afghanistan,3/1/2020,Country or economy,Asia,Grid,8060,702656
Afghanistan,3/1/2020,Country or economy,Asia,Heating and cooling systems,393551,4780689
Afghanistan,3/1/2020,Country or economy,Asia,Solar PV,941735,12215564
Afghanistan,3/1/2020,Country or economy,Asia,Wind,0,0
Afghanistan,4/1/2020,Country or economy,Asia,All technologies,835214,18953084
Afghanistan,4/1/2020,Country or economy,Asia,Batteries,42043,1289358
Afghanistan,4/1/2020,Country or economy,Asia,EVs,188,618
Afghanistan,4/1/2020,Country or economy,Asia,Grid,71440,755119
Afghanistan,4/1/2020,Country or economy,Asia,Heating and cooling systems,325805,5030573
Afghanistan,4/1/2020,Country or economy,Asia,Solar PV,395738,11877416
Afghanistan,4/1/2020,Country or economy,Asia,Wind,0,0
Afghanistan,5/1/2020,Country or economy,Asia,All technologies,882057,18671367
Afghanistan,5/1/2020,Country or economy,Asia,Batteries,100018,1091912
Afghanistan,5/1/2020,Country or economy,Asia,EVs,0,618
Afghanistan,5/1/2020,Country or economy,Asia,Grid,80394,520670
Afghanistan,5/1/2020,Country or economy,Asia,Heating and cooling systems,442440,5098573
Afghanistan,5/1/2020,Country or economy,Asia,Solar PV,259205,11959594
Afghanistan,5/1/2020,Country or economy,Asia,Wind,0,0
Afghanistan,6/1/2020,Country or economy,Asia,All technologies,1310518,17982285
Afghanistan,6/1/2020,Country or economy,Asia,Batteries,25542,939122
Afghanistan,6/1/2020,Country or economy,Asia,EVs,0,618
Afghanistan,6/1/2020,Country or economy,Asia,Grid,455928,961391
Afghanistan,6/1/2020,Country or economy,Asia,Heating and cooling systems,391600,5209535
Afghanistan,6/1/2020,Country or economy,Asia,Solar PV,437448,10871619
Afghanistan,6/1/2020,Country or economy,Asia,Wind,0,0
Afghanistan,7/1/2020,Country or economy,Asia,All technologies,4356297,21107985
Afghanistan,7/1/2020,Country or economy,Asia,Batteries,18806,816262
Afghanistan,7/1/2020,Country or economy,Asia,EVs,0,618
Afghanistan,7/1/2020,Country or economy,Asia,Grid,28990,982695
Afghanistan,7/1/2020,Country or economy,Asia,Heating and cooling systems,354686,4890447
Afghanistan,7/1/2020,Country or economy,Asia,Solar PV,3953815,14417963
Afghanistan,7/1/2020,Country or economy,Asia,Wind,0,0
Afghanistan,8/1/2020,Country or economy,Asia,All technologies,1231034,20801131
Afghanistan,8/1/2020,Country or economy,Asia,Batteries,241122,1041984
Afghanistan,8/1/2020,Country or economy,Asia,EVs,166,784
Afghanistan,8/1/2020,Country or economy,Asia,Grid,160367,1065544
Afghanistan,8/1/2020,Country or economy,Asia,Heating and cooling systems,286369,4542704
Afghanistan,8/1/2020,Country or economy,Asia,Solar PV,543010,14150115
Afghanistan,8/1/2020,Country or economy,Asia,Wind,0,0
Afghanistan,9/1/2020,Country or economy,Asia,All technologies,995622,19908997
Afghanistan,9/1/2020,Country or economy,Asia,Batteries,237201,1279185
Afghanistan,9/1/2020,Country or economy,Asia,EVs,0,784
Afghanistan,9/1/2020,Country or economy,Asia,Grid,17016,1073430
Afghanistan,9/1/2020,Country or economy,Asia,Heating and cooling systems,187400,4493211
Afghanistan,9/1/2020,Country or economy,Asia,Solar PV,554005,13062387
Afghanistan,9/1/2020,Country or economy,Asia,Wind,0,0
Afghanistan,10/1/2020,Country or economy,Asia,All technologies,1322207,19526794
Afghanistan,10/1/2020,Country or economy,Asia,Batteries,229233,1475687
Afghanistan,10/1/2020,Country or economy,Asia,EVs,0,784
Afghanistan,10/1/2020,Country or economy,Asia,Grid,83265,1063952
Afghanistan,10/1/2020,Country or economy,Asia,Heating and cooling systems,150306,4282401
Afghanistan,10/1/2020,Country or economy,Asia,Solar PV,859403,12703970
Afghanistan,10/1/2020,Country or economy,Asia,Wind,0,0
Afghanistan,11/1/2020,Country or economy,Asia,All technologies,1861010,18301344
Afghanistan,11/1/2020,Country or economy,Asia,Batteries,167408,1207158
Afghanistan,11/1/2020,Country or economy,Asia,EVs,112320,113104
Afghanistan,11/1/2020,Country or economy,Asia,Grid,745725,1792002
Afghanistan,11/1/2020,Country or economy,Asia,Heating and cooling systems,183827,3727383
Afghanistan,11/1/2020,Country or economy,Asia,Solar PV,651730,11461697
Afghanistan,11/1/2020,Country or economy,Asia,Wind,0,0
Afghanistan,12/1/2020,Country or economy,Asia,All technologies,1162113,17509071
Afghanistan,12/1/2020,Country or economy,Asia,Batteries,209230,1378900
Afghanistan,12/1/2020,Country or economy,Asia,EVs,0,112674
Afghanistan,12/1/2020,Country or economy,Asia,Grid,89280,1821949
Afghanistan,12/1/2020,Country or economy,Asia,Heating and cooling systems,122668,3202739
Afghanistan,12/1/2020,Country or economy,Asia,Solar PV,740935,10992809
Afghanistan,12/1/2020,Country or economy,Asia,Wind,0,0
Afghanistan,1/1/2021,Country or economy,Asia,All technologies,1072010,17051420
Afghanistan,1/1/2021,Country or economy,Asia,Batteries,250449,1568994
Afghanistan,1/1/2021,Country or economy,Asia,EVs,9751,122425
Afghanistan,1/1/2021,Country or economy,Asia,Grid,65977,1881918
Afghanistan,1/1/2021,Country or economy,Asia,Heating and cooling systems,51898,2926725
Afghanistan,1/1/2021,Country or economy,Asia,Solar PV,693935,10551358
Afghanistan,1/1/2021,Country or economy,Asia,Wind,0,0
Afghanistan,2/1/2021,Country or economy,Asia,All technologies,571661,16991031
